sub_agency,id,code,agency_id,agency_abbreviation,agency_name,agency_slug,subagency_slug,total_spend,total_outlays,it_category,normalized_intensity,formatted_amount
Department of the Air Force,1196,USAF,126,DOD,Department of Defense,department-of-defense,department-of-the-air-force,5666484925.6,,Development/Modernization (DME),1.0,$5.67B
Defense Information Systems Agency,1217,DISA,126,DOD,Department of Defense,department-of-defense,defense-information-systems-agency,4683808777.64,,Development/Modernization (DME),0.8264510286447253,$4.68B
Department of the Navy,1174,USN,126,DOD,Department of Defense,department-of-defense,department-of-the-navy,4399194794.68,,Development/Modernization (DME),0.7761857768844411,$4.40B
Department of the Army,1188,USA,126,DOD,Department of Defense,department-of-defense,department-of-the-army,3236370132.77,,Development/Modernization (DME),0.5708210447089737,$3.24B
Defense Logistics Agency,1219,DLA,126,DOD,Department of Defense,department-of-defense,defense-logistics-agency,1369737323.6,,Development/Modernization (DME),0.24115780356694205,$1.37B
Defense Health Agency,1225,DHA,126,DOD,Department of Defense,department-of-defense,defense-health-agency,889312999.53,,Development/Modernization (DME),0.15631077901110083,$889.31M
U.S. Special Operations Command,1235,USSOCOM,126,DOD,Department of Defense,department-of-defense,us-special-operations-command,322057603.87,,Development/Modernization (DME),0.05612864818713214,$322.06M
USTRANSCOM,1212,,126,DOD,Department of Defense,department-of-defense,ustranscom,274132450.46,,Development/Modernization (DME),0.04766465820058797,$274.13M
Defense Counterintelligence and Security Agency,1221,DCSA,126,DOD,Department of Defense,department-of-defense,defense-counterintelligence-and-security-agency,246558453.08,,Development/Modernization (DME),0.042794855579056525,$246.56M
Washington Headquarters Services,1231,WHS,126,DOD,Department of Defense,department-of-defense,washington-headquarters-services,226169660.8,,Development/Modernization (DME),0.03919402133196905,$226.17M
Defense Advanced Research Projects Agency,1216,DARPA,126,DOD,Department of Defense,department-of-defense,defense-advanced-research-projects-agency,215245396.7,,Development/Modernization (DME),0.037264703314731966,$215.25M
Defense Threat Reduction Agency,1208,DTRA,126,DOD,Department of Defense,department-of-defense,defense-threat-reduction-agency,160133860.66,,Operations & Maintenance (O&M),0.027531536991923785,$160.13M
Defense Finance and Accounting Service,1223,DFAS,126,DOD,Department of Defense,department-of-defense,defense-finance-and-accounting-service,102925817.8,,Operations & Maintenance (O&M),0.01742810972118718,$102.93M
U.S. Cyber Command,1482,USCYBERCOM,126,DOD,Department of Defense,department-of-defense,us-cyber-command,93172581.27,,Operations & Maintenance (O&M),0.01570560513950979,$93.17M
Missile Defense Agency,1234,MDA,126,DOD,Department of Defense,department-of-defense,missile-defense-agency,72188150.34,,Operations & Maintenance (O&M),0.011999576037310038,$72.19M
Defense Human Resources Activity,1206,,126,DOD,Department of Defense,department-of-defense,defense-human-resources-activity,47873351.49,,Operations & Maintenance (O&M),0.007705375615443605,$47.87M
Defense Media Activity,1227,DMA,126,DOD,Department of Defense,department-of-defense,defense-media-activity,43806952.47,,Operations & Maintenance (O&M),0.006987214939104666,$43.81M
Department of Defense Education Activity,1228,DODEA,126,DOD,Department of Defense,department-of-defense,department-of-defense-education-activity,37149608.1,,Operations & Maintenance (O&M),0.00581147126223834,$37.15M
Uniformed Services University of the Health Sciences,1233,USUHS,126,DOD,Department of Defense,department-of-defense,uniformed-services-university-of-the-health-sciences,20544053.74,,Operations & Maintenance (O&M),0.0028787890312258458,$20.54M
Defense Microelectronics Activity,1210,DMEA,126,DOD,Department of Defense,department-of-defense,defense-microelectronics-activity,12387708.09,,Operations & Maintenance (O&M),0.0014383089702066094,$12.39M
Defense Commissary Agency,1222,DECA,126,DOD,Department of Defense,department-of-defense,defense-commissary-agency,4659929.77,,Operations & Maintenance (O&M),7.351754723194289e-05,$4.66M
Defense Contract Management Agency,1209,DCMA,126,DOD,Department of Defense,department-of-defense,defense-contract-management-agency,4243655.68,,Operations & Maintenance (O&M),0.0,$4.24M
